ST510102,follows,ST510101
ST510103,parent of,ST510104
ST510103,parent of,ST510105
ST510103,parent of,ST510106
ST510107,follows,ST510103
ST510107,follows,ST510104
ST510107,follows,ST510105
ST510107,follows,ST510106
ST510108,follows,ST510103
ST510108,follows,ST510104
ST510108,follows,ST510105
ST510108,follows,ST510106
ST510109,follows,ST510102
ST510109,follows,ST510107
ST510110,follows,ST510101
ST510111,follows,ST510101
ST510111,follows,ST510108
ST510111,follows,ST510109
ST510111,follows,ST510110
ST510112,follows,ST510109
ST510112,follows,ST510111
ST520101,follows,ST520102
